Longitude	Latitude	Elevation	Elevation	HCP1	PRP1	HCP2	PRP2	VpH	VEC_s	VEC_d	TWI
-75.749762	45.108767	58.32	58.32	38.14	26.58	35.22	34.38	5.87	31.27	38.54	12.99
-75.749723	45.108740	58.33	58.33	36.90	24.72	35.04	32.84	5.84	30.64	37.54	12.70
-75.749687	45.108705	58.36	58.36	35.36	23.10	34.04	31.26	5.81	29.47	35.48	12.65
-75.749650	45.108678	58.40	58.40	34.20	21.74	33.18	30.14	5.77	28.01	33.51	12.71
-75.749612	45.108643	58.40	58.40	33.18	21.40	32.22	29.20	5.75	26.56	32.30	12.79
-75.749572	45.108610	58.38	58.38	33.18	21.40	32.02	28.90	5.71	25.00	30.88	12.87
-75.749530	45.108580	58.38	58.38	33.18	21.40	31.70	28.90	5.69	24.01	30.77	12.95
-75.749492	45.108548	58.38	58.38	33.02	21.24	31.50	28.90	5.67	23.00	30.39	13.01
-75.749455	45.108515	58.38	58.38	32.06	20.76	31.00	28.26	5.66	21.97	29.42	12.96
-75.749417	45.108485	58.40	58.40	31.66	19.66	30.52	27.24	5.64	20.91	28.02	12.85
-75.749378	45.108455	58.40	58.40	31.66	19.66	30.52	27.24	5.63	19.81	26.42	12.78
-75.749338	45.108427	58.40	58.40	32.18	20.26	30.90	28.16	5.61	18.70	24.93	12.73
-75.749297	45.108400	58.39	58.39	32.18	20.26	30.90	28.16	5.59	17.61	23.88	12.74
-75.749262	45.108375	58.38	58.38	30.96	18.24	31.20	26.80	5.58	16.70	23.65	12.69
-75.749225	45.108348	58.36	58.36	30.96	18.24	31.36	26.80	5.56	15.94	24.19	12.52
-75.749190	45.108318	58.31	58.31	33.20	19.78	32.44	29.64	5.55	15.39	25.25	12.31
-75.749155	45.108287	58.28	58.28	33.86	19.78	33.72	29.64	5.55	15.13	26.32	12.31
-75.749115	45.108257	58.27	58.27	33.96	19.78	33.86	29.90	5.55	15.12	27.55	12.36
-75.749077	45.108225	58.25	58.25	33.86	19.64	34.12	29.44	5.56	15.51	29.11	12.32
-75.749040	45.108193	58.20	58.20	34.64	20.48	34.44	30.62	5.58	16.42	30.94	12.17
-75.749000	45.108163	58.15	58.15	36.50	22.78	34.70	32.46	5.59	17.83	33.00	12.04
-75.748962	45.108133	58.08	58.08	39.36	26.50	36.12	35.60	5.61	19.60	34.88	11.92
-75.748923	45.108102	57.96	57.96	39.36	26.50	36.32	35.60	5.65	22.44	36.88	11.87
-75.748885	45.108072	57.86	57.86	39.90	27.00	37.08	36.08	5.66	23.84	38.04	11.96
-75.748847	45.108043	57.79	57.79	40.08	27.32	37.08	36.56	5.68	24.62	38.41	12.18
-75.748805	45.108013	57.78	57.78	40.08	27.66	37.06	36.64	5.70	24.63	37.66	12.17
-75.748773	45.107983	57.77	57.77	40.36	27.84	36.74	36.88	5.71	24.47	36.97	12.49
-75.748738	45.107952	57.83	57.83	40.06	27.84	36.54	36.64	5.73	23.28	34.84	12.17
-75.748702	45.107922	57.93	57.93	39.12	25.24	36.02	35.28	5.74	21.40	31.90	12.16
-75.748667	45.107893	58.04	58.04	35.08	19.58	35.90	30.78	5.75	19.24	28.44	12.32
-75.748627	45.107865	58.10	58.10	34.22	19.40	34.22	30.14	5.76	17.17	25.07	12.65
-75.748595	45.107838	58.13	58.13	34.22	19.58	34.14	30.14	5.78	15.52	22.43	12.94
-75.748567	45.107815	58.12	58.12	34.70	20.24	34.14	30.52	5.79	14.20	20.69	12.92
-75.748542	45.107793	58.10	58.10	35.66	21.14	34.58	31.46	5.80	13.88	20.70	12.78
-75.748520	45.107782	58.07	58.07	35.92	21.54	35.06	32.20	5.82	13.05	19.81	12.64
-75.748510	45.107775	58.07	58.07	35.92	21.54	34.62	32.20	5.82	13.05	19.81	12.64
-75.748498	45.107770	58.07	58.07	35.12	21.08	34.62	31.60	5.83	12.55	18.92	12.53
-75.748478	45.107757	58.07	58.07	35.84	20.76	36.32	31.96	5.83	12.55	18.92	12.53
-75.748460	45.107742	58.02	58.02	37.50	23.20	36.32	33.86	5.84	12.04	18.43	12.10
-75.748437	45.107725	57.95	57.95	39.80	28.14	36.92	36.76	5.86	11.99	18.65	12.08
-75.748410	45.107713	57.96	57.96	41.68	28.86	37.32	38.64	5.87	11.67	18.12	11.81
-75.748380	45.107705	57.97	57.97	41.68	28.86	37.86	38.64	5.88	11.37	17.69	11.61
-75.748350	45.107703	57.97	57.97	41.68	28.06	37.88	38.42	5.88	11.37	17.69	11.61
-75.748320	45.107705	57.98	57.98	41.54	28.06	37.86	38.42	5.89	11.17	17.35	11.51
-75.748300	45.107708	58.00	58.00	41.54	28.50	37.42	38.54	5.90	11.18	17.25	11.45
-75.748283	45.107713	58.00	58.00	41.54	28.50	37.32	38.54	5.90	11.18	17.25	11.45
-75.748273	45.107722	58.00	58.00	40.58	28.12	37.08	38.46	5.90	11.18	17.25	11.45
-75.748270	45.107732	58.10	58.10	38.94	25.86	36.76	36.50	5.90	10.98	16.81	11.80
-75.748273	45.107745	58.08	58.08	37.92	22.36	36.76	34.42	5.89	11.04	16.91	11.77
-75.748283	45.107758	58.14	58.14	36.64	21.68	36.76	32.66	5.87	10.97	16.62	12.27
-75.748300	45.107770	58.14	58.14	35.80	20.44	35.62	31.88	5.87	10.97	16.62	12.27
-75.748327	45.107782	58.13	58.13	35.62	20.40	35.60	31.76	5.86	11.14	16.87	12.13
-75.748357	45.107793	58.16	58.16	34.82	20.36	35.60	30.96	5.84	11.46	17.03	12.52
-75.748383	45.107807	58.16	58.16	34.82	20.36	34.76	30.68	5.84	11.46	17.03	12.52
-75.748408	45.107820	58.18	58.18	33.54	17.78	34.32	29.54	5.82	11.92	17.40	12.88
-75.748435	45.107840	58.16	58.16	32.80	17.32	34.28	28.26	5.80	12.55	17.99	13.06
-75.748462	45.107865	58.17	58.17	32.26	17.04	33.78	28.16	5.79	12.75	18.10	13.08
-75.748488	45.107892	58.17	58.17	32.26	17.32	33.78	28.16	5.77	13.70	19.23	13.10
-75.748522	45.107918	58.17	58.17	32.98	17.64	33.82	28.62	5.75	14.97	21.06	13.06
-75.748555	45.107945	58.15	58.15	33.42	17.74	34.34	29.12	5.73	16.59	23.83	12.82
-75.748590	45.107972	58.12	58.12	33.98	18.54	34.42	29.54	5.72	18.50	27.10	12.48
-75.748627	45.108002	58.07	58.07	34.74	19.94	34.84	30.58	5.70	20.57	30.75	12.17
-75.748662	45.108030	58.00	58.00	36.22	21.08	35.76	31.94	5.69	22.60	34.19	11.99
-75.748698	45.108058	57.93	57.93	37.86	23.74	36.20	34.34	5.68	24.04	36.99	12.03
-75.748742	45.108085	57.86	57.86	39.52	26.26	36.98	36.20	5.66	24.52	38.62	12.21
-75.748782	45.108113	57.85	57.85	39.52	26.26	37.68	36.20	5.65	23.93	38.83	12.00
-75.748818	45.108142	57.94	57.94	38.54	23.80	37.68	34.86	5.63	22.54	38.60	11.74
-75.748855	45.108170	58.04	58.04	37.96	22.02	37.62	33.48	5.62	20.78	38.99	11.67
-75.748892	45.108200	58.13	58.13	36.20	21.10	35.58	32.40	5.60	18.98	39.50	11.75
-75.748930	45.108228	58.20	58.20	34.00	18.66	35.52	29.30	5.58	17.40	37.71	11.95
-75.748962	45.108258	58.23	58.23	33.90	18.42	34.26	29.02	5.58	17.11	39.04	12.01
-75.748998	45.108285	58.28	58.28	33.64	18.42	33.92	29.02	5.57	16.06	35.25	12.21
-75.749033	45.108315	58.31	58.31	32.60	16.86	33.76	28.22	5.56	15.47	32.92	12.34
-75.749070	45.108343	58.34	58.34	31.44	16.62	32.84	27.04	5.55	15.27	30.89	12.36
-75.749103	45.108372	58.37	58.37	29.60	15.74	31.76	25.44	5.54	15.43	28.40	12.45
-75.749138	45.108398	58.40	58.40	29.60	15.74	31.18	25.44	5.55	15.87	26.52	12.64
-75.749173	45.108428	58.42	58.42	30.78	16.98	31.18	26.72	5.57	16.98	25.33	13.19
