Longitude	Latitude	Elevation	Elevation	ShallowEC	DeepEC
-97.991638	41.27457	517.445	517.445	0.8	12.5
-97.991692	41.27457	517.457	517.457	0.7	11
-97.991745	41.274574	517.486	517.486	0.8	10.2
-97.991791	41.274574	517.521	517.521	0.8	12.5
-97.991837	41.274574	517.538	517.538	0.9	9.7
-97.991882	41.274578	517.549	517.549	0.9	9.1
-97.991936	41.274578	517.567	517.567	0.8	7.4
-97.991989	41.274578	517.585	517.585	0.6	7.2
-97.992035	41.274578	517.599	517.599	0.6	7.2
-97.992073	41.274578	517.612	517.612	0.6	7.9
-97.992111	41.274578	517.61	517.61	0.7	11.1
-97.992165	41.274578	517.595	517.595	1.1	13.3
-97.99221	41.274578	517.599	517.599	1	13.8
-97.992249	41.274578	517.62	517.62	1.1	8.3
-97.992294	41.274578	517.632	517.632	1	7.8
-97.992332	41.274578	517.64	517.64	0.9	7.4
-97.992371	41.274578	517.65	517.65	0.9	7.2
-97.992401	41.274578	517.661	517.661	0.7	6.6
-97.992424	41.274578	517.669	517.669	0.8	7
-97.992447	41.274578	517.674	517.674	0.9	7.1
-97.99247	41.274578	517.677	517.677	1.1	7
-97.992493	41.274578	517.681	517.681	0.9	7.8
-97.992523	41.274578	517.682	517.682	0.7	9.1
-97.992546	41.274578	517.68	517.68	0.7	8.1
-97.992569	41.274578	517.68	517.68	0.7	8.6
-97.992584	41.274578	517.684	517.684	0.7	7.8
-97.992615	41.274578	517.693	517.693	0.9	8.2
-97.992638	41.274578	517.702	517.702	0.8	10.9
-97.992653	41.274578	517.704	517.704	0.8	8
-97.992668	41.274578	517.71	517.71	0.8	8
-97.992683	41.274578	517.72	517.72	0.8	7.8
-97.992699	41.274578	517.726	517.726	0.7	8.5
-97.992714	41.274582	517.727	517.727	0.7	8.7
-97.992737	41.274582	517.725	517.725	0.8	11
-97.992752	41.274578	517.715	517.715	0.9	10.4
-97.992767	41.274582	517.704	517.704	1	10.4
-97.992783	41.274586	517.701	517.701	1.1	10.1
-97.99279	41.274586	517.694	517.694	1.2	8.8
-97.992798	41.274586	517.688	517.688	1.2	8.9
-97.992813	41.274586	517.68	517.68	1.2	8.7
-97.992821	41.274586	517.67	517.67	1.2	10.3
-97.992821	41.274586	517.665	517.665	1.2	10.1
-97.992828	41.274586	517.666	517.666	1.2	12
-97.992836	41.274586	517.664	517.664	1.2	11
-97.992859	41.274586	517.703	517.703	1.1	8
-97.992882	41.274586	517.697	517.697	1.2	8.1
-97.992897	41.274586	517.698	517.698	1.2	7.9
-97.992912	41.274586	517.693	517.693	1.1	7.1
-97.992928	41.274586	517.674	517.674	1.1	8.4
-97.992943	41.274586	517.651	517.651	1.1	10.7
-97.992966	41.274586	517.62	517.62	1.1	11.8
-97.992996	41.274586	517.574	517.574	1.1	12.3
-97.993011	41.274586	517.529	517.529	1.2	10.1
-97.993019	41.274586	517.498	517.498	1.3	10.8
-97.993027	41.274586	517.46	517.46	1.6	12.6
-97.993042	41.274586	517.427	517.427	1.6	15.1
-97.993057	41.274586	517.412	517.412	1.8	18.5
-97.993073	41.274586	517.393	517.393	1.8	28.2
-97.993088	41.27459	517.371	517.371	2.1	21.9
-97.993103	41.274593	517.361	517.361	1.7	19.6
-97.993118	41.274597	517.351	517.351	2.6	13.2
-97.993126	41.274601	517.35	517.35	3.9	7.5
-97.993134	41.274605	517.354	517.354	1.4	3.3
-97.993141	41.274612	517.321	517.321	4.7	26.1
-97.993149	41.274628	517.298	517.298	4.9	17.9
-97.993149	41.274639	517.303	517.303	4.8	31.7
-97.993149	41.274651	517.319	517.319	4.6	30.9
-97.993149	41.274662	517.347	517.347	5.2	31.3
-97.993149	41.274673	517.366	517.366	5.2	29.3
-97.993141	41.274689	517.369	517.369	5.8	28.7
-97.993126	41.274696	517.365	517.365	4.5	26.9
-97.993103	41.2747	517.351	517.351	3.2	27.8
-97.993095	41.274704	517.311	517.311	3.2	25
-97.99308	41.274708	517.323	517.323	2.5	25.3
-97.993057	41.274704	517.386	517.386	2.2	21.6
-97.993042	41.2747	517.442	517.442	1.9	23.2
-97.993027	41.274696	517.485	517.485	1.6	21.6
-97.993004	41.274689	517.508	517.508	1.6	16.5
-97.992966	41.274677	517.57	517.57	1.3	13.5
-97.992935	41.274673	517.642	517.642	1.2	8.9
-97.992905	41.27467	517.669	517.669	1.2	9.7
-97.992859	41.274666	517.677	517.677	1.2	8.8
-97.992813	41.274666	517.678	517.678	1.1	8
-97.992767	41.274666	517.671	517.671	1	7.9
-97.992722	41.274666	517.663	517.663	0.9	7.1
-97.992668	41.274666	517.657	517.657	0.6	6.3
-97.992615	41.274666	517.647	517.647	0.7	5.7
-97.992569	41.274666	517.658	517.658	0.7	6
-97.992523	41.274666	517.678	517.678	1	6.7
-97.992477	41.274666	517.687	517.687	1.2	7.2
-97.992424	41.274666	517.692	517.692	1.1	7.3
-97.992371	41.274666	517.688	517.688	1	6.9
-97.992325	41.274666	517.677	517.677	1.1	7.7
-97.992287	41.274666	517.659	517.659	1.3	8.4
-97.992249	41.274666	517.633	517.633	1.2	7.5
-97.992195	41.274666	517.61	517.61	1	6.1
-97.992157	41.274666	517.6	517.6	0.7	5.7
-97.992111	41.274666	517.608	517.608	0.7	5.3
-97.992065	41.274666	517.609	517.609	0.8	6.4
-97.99202	41.274666	517.589	517.589	0.8	5.6
-97.991966	41.274666	517.565	517.565	0.8	6.7
-97.991928	41.274666	517.542	517.542	1	8.2
-97.991882	41.274666	517.516	517.516	1	9.2
-97.991837	41.274666	517.494	517.494	1	11.3
-97.991791	41.274666	517.471	517.471	0.9	9.9
-97.991745	41.274666	517.447	517.447	0.9	11.6
-97.991699	41.274666	517.418	517.418	0.9	10.1
-97.991653	41.274666	517.391	517.391	0.8	9.8
-97.991608	41.274666	517.37	517.37	0.8	8.7
-97.99157	41.274666	517.359	517.359	0.7	8
-97.991531	41.274666	517.344	517.344	0.8	8.4
-97.991478	41.274666	517.323	517.323	1	8.5
-97.99144	41.274666	517.309	517.309	1	9.5
-97.991394	41.274666	517.29	517.29	1	10.7
-97.991348	41.274666	517.283	517.283	1	10.2
-97.99131	41.274666	517.29	517.29	1.1	11.1
-97.991272	41.274666	517.299	517.299	1	9.9
-97.991219	41.274662	517.307	517.307	0.8	8.4
-97.99118	41.274658	517.311	517.311	0.7	9.5
-97.991135	41.274658	517.307	517.307	0.7	13.9
-97.991089	41.274658	517.297	517.297	0.7	12.8
-97.991051	41.274658	517.286	517.286	0.7	11.4
-97.991013	41.274658	517.28	517.28	0.8	12.7
-97.990959	41.274658	517.27	517.27	0.7	11.7
-97.990906	41.274658	517.26	517.26	0.7	12.1
-97.990868	41.274658	517.256	517.256	0.6	12.6
-97.990829	41.274658	517.255	517.255	0.6	12.9
-97.990784	41.274658	517.266	517.266	0.6	13.1
-97.990738	41.274658	517.277	517.277	0.6	11.9
-97.9907	41.274658	517.285	517.285	0.6	12.9
-97.990646	41.274658	517.296	517.296	0.6	9.9
-97.990601	41.274658	517.305	517.305	0.8	9
-97.990562	41.274658	517.312	517.312	0.8	9.1
-97.990524	41.274658	517.308	517.308	0.7	8.7
-97.990471	41.274658	517.292	517.292	0.7	10.7
-97.990417	41.274658	517.266	517.266	0.9	10.4
-97.990372	41.274658	517.244	517.244	1	10.5
-97.990326	41.274658	517.234	517.234	1	11
-97.99028	41.274658	517.233	517.233	1.1	12.1
-97.990234	41.274658	517.247	517.247	1.2	12.8
-97.990189	41.274658	517.242	517.242	1	11.6
-97.990143	41.274658	517.221	517.221	1	9.9
-97.990097	41.274658	517.212	517.212	0.9	10.1
-97.990051	41.274658	517.172	517.172	1	9.8
-97.990005	41.274658	517.12	517.12	1.2	9.9
-97.989967	41.274658	517.065	517.065	1.3	12
-97.989914	41.274654	516.959	516.959	1.2	15
-97.989868	41.274651	516.823	516.823	1	15.6
-97.989822	41.274651	516.754	516.754	0.9	17.2
